110000	北京市	0
120000	天津市	0
130000	河北省	0
140000	山西省	0
150000	内蒙古自治区	0
210000	辽宁省	0
220000	吉林省	0
230000	黑龙江	0
310000	上海市	0
320000	江苏省	0
330000	浙江省	0
340000	安徽省	0
350000	福建省	0
360000	江西省	0
370000	山东省	0
410000	河南省	0
420000	湖北省	0
430000	湖南省	0
440000	广东省	0
450000	广西壮族自治区	0
460000	海南省	0
500000	重庆市	0
510000	四川省	0
520000	贵州省	0
530000	云南省	0
540000	西藏自治区	0
610000	陕西省	0
620000	甘肃省	0
630000	青海省	0
640000	宁夏回族自治区	0
650000	新疆维吾尔族自治区	0
710000	台湾省	0
810000	香港特别行政区	0
820000	澳门特别行政区	0
